인허가일자,영업상태명,폐업일자,사업장명,지번주소,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명
19931101,영업/정상,20250101,LG25시,서울특별시 강서구 공항동 60-31 ,편의점,183211.711253144,450672.553951794,주택가주변
19940202,영업/정상,20250101,바이더웨이공항점,서울특별시 강서구 방화동 559-5 ,편의점,183147.775733197,452259.11212305,주택가주변
19950726,영업/정상,20250101,훼미리마트,서울특별시 강서구 등촌동 655-27번지 ,편의점,187146.12525579,450413.646178523,기타
20000426,영업/정상,20250101,오렌지,서울특별시 강서구 화곡동 923-3번지 ,편의점,185906.805955035,447437.768925792,
20090311,영업/정상,20250101,GS25 가양우성점,서울특별시 강서구 가양동 1480-5번지 이스타빌1차 104호의 일부(지상1층) ,편의점,186943.885592447,451159.513463994,
20090629,폐업,20210525,미니텐투,서울특별시 강서구 화곡동 373-5 지상 1층 (코너 일부분) ,편의점,185553.435785412,448132.967098924,
20120227,영업/정상,20250101,미니스톱(화곡다솔점)내,서울특별시 강서구 화곡동 1086-26번지 ,편의점,185485.311917674,448495.163842327,
20130704,영업/정상,20250101,씨유 개화산역점,서울특별시 강서구 방화동 498-4번지 1층 ,편의점,182794.441839414,452295.430545244,
20140403,영업/정상,20250101,CU화곡아이파크점,서울특별시 강서구 화곡동 1098-17 ,편의점,186694.655068843,450220.872355014,
20140819,영업/정상,20250101,CU화곡곰달래점,서울특별시 강서구 화곡동 836-2번지 (지상 1층) ,편의점,187346.862171358,447799.842258083,
20141008,영업/정상,20250101,씨유 화곡사거리점,"서울특별시 강서구 화곡동 343-66번지 지하층,1동,화곡동오피스텔 B110호",편의점,186368.937163032,447619.160153588,
20150717,영업/정상,20250101,씨유 마곡투웨니점,서울특별시 강서구 마곡동 784-6번지 마곡대명투웨니퍼스트 (지상 1층) 112~113호,편의점,185808.0,451450.0,
20160105,영업/정상,20250101,세븐일레븐강서화곡예스점,서울특별시 강서구 화곡동 29-52번지 (지상 1층) ,편의점,186448.202510095,449314.181380685,
20160216,영업/정상,20250101,지에스25 방화샤르망,서울특별시 강서구 방화동 830-3번지 (방화3동) 110~1호,편의점,183414.494799084,452706.104919778,
20160226,영업/정상,20250101,씨유발산열린점,서울특별시 강서구 마곡동 795-7번지 열린프라자 (지상 1층) 108호,편의점,185593.0,450880.0,
20160330,영업/정상,20250101,세븐일레븐,서울특별시 강서구 등촌동 628-32 강변샤르망2차오피스텔 109호,편의점,187342.234623982,450784.456941333,
20160411,영업/정상,20250101,이마트24 마곡미르웰점,"서울특별시 강서구 마곡동 784-4번지 외 1필지 미르웰플러스오피스텔 115,1호",편의점,185817.0,451484.0,
20160412,영업/정상,20250101,GS25투웨니점,서울특별시 강서구 등촌동 647-89번지 ,편의점,187936.189010435,450125.978645866,
20160429,영업/정상,20250101,세븐일레븐 강서스토리점,서울특별시 강서구 방화동 168-38번지 (방화1동) ,편의점,183861.648795384,452327.871674126,
